ActivityKey,Type
18436,Assessment
39496,Exam
4422,Track
10762,Track
44108,Exam
104649,Course
109239,Course
123729,Course
138559,Course
169999,Course
173259,Course
28426,Exam
4926,Certification
23376,Assessment
38866,Exam
182959,Course
189609,Course
5932,Track
7342,Track
11086,Assessment
29296,Certification
6796,Certification
24276,Certification
3552,Track
86218,Exam
29832,Track
5692,Track
28716,Certification
3236,Certification
18536,Assessment
39556,Exam
54328,Exam
13352,Track
50188,Exam
106119,Course
114669,Course
124399,Course
124859,Course
173009,Course
175889,Course
28436,Certification
4966,Certification
23416,Assessment
38886,Exam
186569,Course
189629,Course
28732,Track
39088,Exam
11296,Certification
29556,Exam
6866,Assessment
24306,Exam
768,Exam
52498,Exam
86528,Exam
47598,Exam
28756,Certification
3276,Assessment
18626,Assessment
39576,Exam
14992,Track
5982,Track
39168,Exam
104819,Course
118839,Course
121849,Course
125829,Course
163309,Course
177699,Course
28476,Exam
5086,Assessment
23456,Assessment
38986,Exam
187909,Course
189669,Course
28752,Track
5762,Track
11346,Assessment
29646,Certification
6926,Certification
24326,Exam
3772,Track
1632,Track
44078,Exam
40798,Exam
28806,Exam
3386,Assessment
18686,Assessment
39896,Exam
15592,Track
41468,Exam
44478,Exam
105259,Course
108639,Course
123669,Course
123799,Course
170149,Course
174989,Course
28596,Certification
5306,Assessment
23476,Assessment
38996,Exam
186439,Course
187999,Course
7322,Track
4922,Track
11486,Assessment
29796,Certification
7086,Assessment
24336,Exam
1842,Track
108,Exam
28822,Track
85418,Exam
28816,Exam
3426,Assessment
18906,Assessment
39936,Exam
13392,Track
50728,Exam
52148,Exam
104929,Course
110429,Course
123699,Course
137419,Course
169889,Course
177509,Course
28646,Exam
5356,Certification
23486,Assessment
39026,Exam
187279,Course
188889,Course
15182,Track
11536,Assessment
29916,Certification
7156,Assessment
24466,Certification
208,Exam
52418,Exam
54838,Exam
53908,Exam
28826,Certification
3866,Assessment
18916,Assessment
40086,Exam
4022,Track
40698,Exam
692,Track
105509,Course
108589,Course
122359,Course
138749,Course
163299,Course
176819,Course
28706,Certification
5486,Certification
23586,Assessment
39116,Exam
187289,Course
188149,Course
488788,Exam
11586,Assessment
30026,Certification
7266,Assessment
24476,Exam
798,Exam
46498,Exam
5632,Track
54558,Exam
28836,Certification
3926,Assessment
19106,Assessment
40146,Exam
54468,Exam
13682,Track
31642,Track
106529,Course
119049,Course
122789,Course
124509,Course
170949,Course
175089,Course
28846,Exam
5506,Assessment
23696,Assessment
39136,Exam
186449,Course
188799,Course
10212,Track
11856,Assessment
30076,Certification
7316,Assessment
24656,Certification
44948,Exam
43658,Exam
6722,Track
46178,Exam
28946,Certification
4016,Certification
19146,Exam
40196,Exam
40758,Exam
14292,Track
43838,Exam
105149,Course
118709,Course
120309,Course
137799,Course
160089,Course
176609,Course
28886,Exam
5656,Certification
23796,Assessment
39186,Exam
187309,Course
188169,Course
11702,Track
11926,Assessment
30116,Exam
7336,Assessment
24686,Certification
42958,Exam
502498,Exam
7062,Track
4572,Track
29016,Exam
4026,Assessment
19226,Assessment
40226,Exam
5172,Track
12122,Track
49768,Exam
104949,Course
109579,Course
123739,Course
138629,Course
170029,Course
173279,Course
28896,Exam
5746,Certification
23936,Assessment
39226,Exam
183619,Course
188899,Course
6162,Track
11976,Assessment
30186,Certification
7426,Assessment
24696,Exam
3902,Track
86718,Exam
31082,Track
87948,Exam
29076,Exam
4146,Assessment
19256,Assessment
40326,Exam
85748,Exam
29072,Track
50438,Exam
106479,Course
118669,Course
124889,Course
124929,Course
173019,Course
176029,Course
29176,Certification
5956,Assessment
23946,Assessment
39256,Exam
186579,Course
188299,Course
29038,Exam
12066,Assessment
